,0
0,
1,$598 monthly
2,$83 monthly
3,
4,$495
5,"$1,384 monthly"
6,"$2,268 monthly"
7,"$1,382 monthly"
8,"$2,755 monthly"
9,"$7,411 monthly"
10,"$2,216 monthly"
11,"$3,312 monthly"
12,$975 monthly
13,"1,800 sqft"
14,$665 monthly
15,
16,"$1,800 monthly"
17,$915 monthly
18,$896 monthly
19,"$1,902 monthly"
20,"$1,644 monthly"
21,"$6,019 monthly"
22,"$2,348 monthly"
23,$389
24,"$1,878 monthly"
25,"$1,017 monthly"
26,"$1,017 monthly"
27,"$1,400 monthly"
28,$912 monthly
29,"$1,058 monthly"
30,$548
31,"$1,391 monthly"
32,$460 monthly
33,$210 monthly
34,$619
35,"4,000 sqft"
36,"$1,019 monthly"
37,$388 monthly
38,"$2,576 monthly"
39,"$1,125"
