,0
0,"Oil, Steam"
1,No Data
2,No Data
3,No Data
4,No Data
5,"Natural Gas, Forced Air"
6,No Data
7,No Data
8,"Forced Air, Hot Water, Natural Gas"
9,"Natural Gas, Steam"
10,Other
11,No Data
12,"Natural Gas, Baseboard"
13,"Natural Gas, Steam"
14,No Data
15,No Data
16,No Data
17,"Forced Air, Natural Gas"
18,No Data
19,No Data
20,No Data
21,"Natural Gas, Steam"
22,"Natural Gas, Baseboard"
23,"Hot Water, Natural Gas"
24,"Natural Gas, Hot Water"
25,"Natural Gas, Forced Air"
26,"Natural Gas, Oil, Hot Water"
27,Forced air
28,No Data
29,No Data
30,No Data
31,No Data
32,Hot Water
33,No Data
34,"Natural Gas, Hot Water"
35,"Natural Gas, Forced Air"
36,"Natural Gas, Baseboard"
37,No Data
38,No Data
39,No Data
40,"Natural Gas, Forced Air"
41,No Data
42,"Forced air, Gas"
43,No Data
44,"Hot Water, Natural Gas, Fireplace(s)"
45,"Natural Gas, Hot Water"
46,"Natural Gas, Baseboard"
47,"Natural Gas, Baseboard, Forced Air"
48,No Data
49,No Data
50,Natural Gas
51,No Data
52,"Radiant, Gas, Oil"
53,No Data
54,No Data
55,"Natural Gas, Hot Water"
56,
57,No Data
58,Natural Gas
59,No Data
