,0
0,$68/mo
1,$139/mo
2,$230/mo
3,$290/mo
4,$139/mo
5,$280/mo
6,$131/mo
7,$140/mo
8,$315/mo
9,$100/mo
10,$578/mo
11,
12,$208/mo
13,$276/mo
14,"$1,225/mo"
15,$192/mo
16,$256/mo
17,$251/mo
18,$129/mo
19,$698/mo
20,$280/mo
21,$75/mo
22,$308/mo
23,$228/mo
24,$110/mo
25,$163/mo
26,$241/mo
27,$210/mo
28,$403/mo
29,$403/mo
30,$116/mo
31,$144/mo
32,$333/mo
33,"$1,698/mo"
34,$508/mo
35,$298/mo
36,$383/mo
37,$297/mo
38,$94/mo
39,$217/mo
40,$623/mo
41,$236/mo
42,$196/mo
43,$410/mo
44,$294/mo
45,$418/mo
46,$455/mo
47,$114/mo
48,$998/mo
49,$271/mo
50,$210/mo
51,$473/mo
52,$156/mo
53,$534/mo
54,$243/mo
55,$140/mo
56,"$1,680/mo"
57,$245/mo
58,$473/mo
59,$628/mo
