,0
0,3.0
1,4.0
2,4.0
3,2.0
4,6.0
5,7.0
6,4.0
7,2.0
8,7.0
9,2.0
10,4.0
11,3.0
12,2.0
13,8.0
14,3.0
15,4.0
16,1.0
17,1.0
18,1.0
19,1.0
20,3.0
21,2.0
22,2.0
23,2.0
24,2.0
25,"Studio,"
26,2.0
27,1.0
28,3.0
29,3.0
30,3.0
31,3.0
32,4.0
33,4.0
34,1.0
35,4.0
36,2.0
37,2.0
38,2.0
39,1.0
40,6.0
41,6.0
42,8.0
43,2.0
44,2.0
45,1.0
46,3.0
47,1.0
48,4.0
49,1.0
50,1.0
51,"Studio,"
52,5.0
53,2.0
54,5.0
55,3.0
56,2.0
57,1.0
58,2.0
59,1.0
60,1.0
61,1.0
62,2.0
63,4.0
64,2.0
65,2.0
66,1.0
67,4.0
68,3.0
69,3.0
70,2.0
71,1.0
72,1.0
73,2.0
74,4.0
75,1.0
76,2.0
77,2.0
78,3.0
79,2.0
80,1.0
81,1.0
82,3.0
83,3.0
84,2.0
85,2.0
86,1.0
87,2.0
88,1.0
89,6.0
90,11.0
91,1.0
92,1.0
93,1.0
94,2.0
95,3.0
96,1.0
97,5.0
98,3.0
99,1.0
100,1.0
101,2.0
102,2.0
103,3.0
104,8.0
105,2.0
106,3.0
107,1.0
108,5.0
109,5.0
110,1.0
111,2.0
112,"Studio,"
113,2.0
114,3.0
115,1.0
116,2.0
117,4.0
118,2.0
119,2.0
120,2.0
121,2.0
122,3.0
123,3.0
124,2.0
125,2.0
126,1.0
127,4.0
128,3.0
129,3.0
130,3.0
131,3.0
132,8.0
133,"Studio,"
134,"Studio,"
135,3.0
136,3.0
137,"Studio,"
138,2.0
139,4.0
140,1.0
141,2.0
142,5.0
143,6.0
144,3.0
145,4.0
146,5.0
147,1.0
148,4.0
149,7.0
150,3.0
151,"Studio,"
152,2.0
153,4.0
154,4.0
155,2.0
156,2.0
157,8.0
158,1.0
159,"Studio,"
160,"Studio,"
161,1.0
162,3.0
163,6.0
164,5.0
165,5.0
166,8.0
167,4.0
168,6.0
169,1.0
170,"Studio,"
171,2.0
172,1.0
173,2.0
174,3.0
175,2.0
176,1.0
177,1.0
178,3.0
179,3.0
180,3.0
181,3.0
182,1.0
183,6.0
184,2.0
185,1.0
186,4.0
187,5.0
188,3.0
189,1.0
190,2.0
191,8.0
192,1.0
193,3.0
194,4.0
195,1.0
196,1.0
197,2.0
198,7.0
199,2.0
200,1.0
201,2.0
202,3.0
203,2.0
204,1.0
205,2.0
206,8.0
207,3.0
208,3.0
209,3.0
210,1.0
211,4.0
212,3.0
213,4.0
214,8.0
215,"Studio,"
216,8.0
217,4.0
218,6.0
219,6.0
220,2.0
221,6.0
222,2.0
223,2.0
224,"Studio,"
225,12.0
226,3.0
227,6.0
228,1.0
229,1.0
230,1.0
231,3.0
232,1.0
233,3.0
234,"-- bds,"
235,1.0
236,2.0
237,2.0
238,4.0
239,2.0
240,2.0
241,2.0
242,1.0
243,1.0
244,2.0
245,2.0
246,3.0
247,4.0
248,3.0
249,1.0
250,2.0
251,3.0
252,"Studio,"
253,5.0
254,3.0
255,"Studio,"
256,2.0
257,2.0
258,3.0
259,2.0
260,3.0
261,"Studio,"
262,"Studio,"
263,3.0
264,3.0
265,3.0
266,1.0
267,6.0
268,6.0
269,1.0
270,2.0
271,4.0
272,1.0
273,1.0
274,5.0
275,"Studio,"
276,1.0
277,2.0
278,3.0
279,"Studio,"
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,"Studio,"
286,2.0
287,3.0
288,1.0
289,3.0
290,2.0
291,2.0
292,2.0
293,1.0
294,2.0
295,2.0
296,3.0
297,5.0
298,2.0
299,1.0
300,1.0
301,2.0
302,2.0
303,3.0
304,2.0
305,4.0
306,1.0
307,2.0
308,3.0
309,2.0
310,6.0
311,"Studio,"
312,6.0
313,3.0
314,3.0
315,2.0
316,3.0
317,4.0
318,2.0
319,1.0
320,2.0
321,1.0
322,7.0
323,2.0
324,2.0
325,2.0
326,4.0
327,"Studio,"
328,3.0
329,2.0
330,2.0
331,3.0
332,5.0
333,3.0
334,4.0
335,5.0
336,3.0
337,1.0
338,"Studio,"
339,"Studio,"
340,7.0
341,1.0
342,3.0
343,1.0
344,4.0
345,6.0
346,6.0
347,3.0
348,2.0
349,2.0
350,3.0
351,6.0
352,2.0
353,2.0
354,2.0
355,1.0
356,5.0
357,1.0
358,4.0
359,4.0
360,4.0
361,1.0
362,2.0
363,1.0
364,4.0
365,4.0
366,"Studio,"
367,2.0
368,2.0
369,1.0
370,2.0
371,2.0
372,7.0
373,2.0
374,3.0
375,5.0
376,1.0
377,3.0
378,3.0
379,1.0
380,9.0
381,2.0
382,1.0
383,3.0
384,3.0
385,2.0
386,8.0
387,4.0
388,4.0
389,3.0
390,1.0
391,2.0
392,4.0
393,"Studio,"
394,1.0
395,1.0
396,2.0
397,2.0
398,3.0
399,2.0
400,2.0
401,7.0
402,3.0
403,1.0
404,1.0
405,4.0
406,1.0
407,7.0
408,"Studio,"
409,5.0
410,1.0
411,2.0
412,2.0
413,1.0
414,2.0
415,1.0
416,1.0
417,2.0
418,3.0
419,"Studio,"
420,4.0
421,2.0
422,3.0
423,6.0
424,3.0
425,2.0
426,1.0
427,3.0
428,1.0
429,"Studio,"
430,3.0
431,1.0
432,3.0
433,1.0
434,2.0
435,3.0
436,3.0
437,3.0
438,3.0
439,1.0
440,3.0
441,5.0
442,5.0
443,1.0
444,6.0
445,2.0
446,3.0
447,3.0
448,2.0
449,3.0
450,"-- bds,"
451,1.0
452,"Studio,"
453,3.0
454,"Studio,"
455,"Studio,"
456,1.0
457,1.0
458,3.0
459,4.0
460,3.0
461,2.0
462,"Studio,"
463,3.0
464,3.0
465,"Studio,"
466,2.0
467,5.0
468,3.0
469,"Studio,"
470,2.0
471,1.0
472,"Studio,"
473,1.0
474,3.0
475,"Studio,"
476,1.0
477,3.0
478,"Studio,"
479,4.0
480,3.0
481,1.0
482,"Studio,"
483,3.0
484,4.0
485,1.0
486,4.0
487,5.0
488,3.0
489,5.0
490,1.0
491,2.0
492,1.0
493,3.0
494,4.0
495,3.0
496,"Studio,"
