,0
0,No Data
1,No Data
2,No Data
3,"Other, Gas"
4,No Data
5,No Data
6,No Data
7,No Data
8,Forced Air
9,"Natural Gas, Forced Air"
10,No Data
11,No Data
12,No Data
13,No Data
14,Natural Gas
15,Natural Gas
16,"Hot Water, Steam, Natural Gas"
17,"Natural Gas, Other"
18,"Forced Air, Natural Gas"
19,"Natural Gas, Hot Water"
20,Oil
21,"Natural Gas, Forced Air"
22,"Hot Water, Natural Gas"
23,No Data
24,No Data
25,No Data
26,No Data
27,No Data
28,"Natural Gas, Steam"
29,"Natural Gas, Baseboard"
30,"Other, Oil"
31,No Data
32,No Data
33,No Data
34,No Data
35,Forced air
36,No Data
37,"Natural Gas, Forced Air, See Remarks"
38,No Data
39,"Hot Water, Natural Gas"
40,Hot Water
41,No Data
42,"Hot Water, Natural Gas"
43,"Hot Water, Natural Gas"
44,"Natural Gas, Baseboard"
45,"Forced Air, Natural Gas, Fireplace(s)"
46,"Hot Water, Natural Gas"
47,Baseboard
48,"Oil, Forced Air"
49,"Steam, Natural Gas"
50,No Data
51,No Data
52,Forced air
53,Gas
54,"Forced Air, Natural Gas"
55,"Natural Gas, Baseboard, Hot Water"
56,"Natural Gas, Steam"
57,No Data
58,No Data
59,"Other, Electric"
