,0
0,$593/mo
1,$130/mo
2,$546/mo
3,"$1,187/mo"
4,$193/mo
5,$93/mo
6,$385/mo
7,$311/mo
8,$231/mo
9,$473/mo
10,$350/mo
11,$304/mo
12,$252/mo
13,"$1,183/mo"
14,"$1,223/mo"
15,"$2,028/mo"
16,$184/mo
17,$219/mo
18,$245/mo
19,$123/mo
20,$488/mo
21,$245/mo
22,$140/mo
23,$472/mo
24,$151/mo
25,$206/mo
26,"$1,120/mo"
27,$375/mo
28,$93/mo
29,$315/mo
30,$122/mo
31,
32,$72/mo
33,$154/mo
34,$31/mo
35,$556/mo
36,$368/mo
37,$116/mo
38,$297/mo
39,$149/mo
40,"$2,202/mo"
41,$315/mo
42,"$2,520/mo"
43,$84/mo
44,$383/mo
45,$131/mo
46,$315/mo
47,$175/mo
48,$147/mo
49,$735/mo
50,$875/mo
51,$88/mo
52,$525/mo
53,$263/mo
54,$665/mo
55,$101/mo
56,$523/mo
57,$629/mo
58,"$1,138/mo"
59,$805/mo
