,0
0,1368
1,2005
2,NA
3,1100
4,NA
5,2067
6,3095
7,1425
8,2548
9,1215
10,882
11,1216
12,NA
13,7000
14,2100
15,2430
16,691
17,802
18,650
19,720
20,NA
21,1000
22,NA
23,825
24,1080
25,525
26,600
27,1000
28,1300
29,NA
30,1152
31,NA
32,2250
33,1690
34,1080
35,1500
36,800
37,900
38,1124
39,600
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,1729
47,662
48,1926
49,NA
50,700
51,NA
52,3900
53,1700
54,NA
55,1400
56,1250
57,771
58,1000
59,925
60,620
61,750
62,875
63,2080
64,1200
65,836
66,715
67,3200
68,NA
69,NA
70,1000
71,1274
72,800
73,1778
74,3242
75,934
76,1750
77,1000
78,1573
79,710
80,900
81,1131
82,1316
83,NA
84,NA
85,NA
86,900
87,850
88,770
89,2500
90,4056
91,600
92,750
93,707
94,841
95,950
96,NA
97,3143
98,2000
99,649
100,NA
101,880
102,624
103,1270
104,3189
105,748
106,1500
107,758
108,NA
109,1920
110,663
111,880
112,500
113,NA
114,1242
115,495
116,NA
117,1980
118,1000
119,12150
120,12150
121,NA
122,NA
123,1368
124,NA
125,1000
126,171935
127,1884
128,NA
129,1408
130,2516
131,1188
132,4108
133,896
134,1672
135,1009
136,1500
137,550
138,980
139,NA
140,830
141,NA
142,NA
143,2008
144,NA
145,2100
146,2000
147,92239
148,NA
149,3500
150,1440
151,550
152,NA
153,1512
154,2904
155,800
156,980
157,4000
158,800
159,NA
160,NA
161,615
162,NA
163,4000
164,2708
165,NA
166,NA
167,1750
168,NA
169,679
170,927
171,2008
172,900
173,1450
174,196577
175,1250
176,530
177,550
178,1196
179,1422
180,784
181,1344
182,800
183,3000
184,600
185,1200
186,NA
187,NA
188,1968
189,800
190,NA
191,2966
192,NA
193,NA
194,1525
195,814
196,715
197,1000
198,NA
199,1880
200,1200
201,1200
202,NA
203,800
204,NA
205,1385
206,3000
207,1285
208,1174
209,1200
210,710
211,2210
212,NA
213,2880
214,6565
215,305
216,2946
217,2692
218,2344
219,3150
220,1200
221,3465
222,900
223,850
224,NA
225,NA
226,NA
227,3215
228,506
229,1200
230,350
231,1302
232,700
233,2000
234,3840
235,675
236,1515
237,480
238,1970
239,1305
240,702
241,1305
242,NA
243,550
244,NA
245,1260
246,1839
247,NA
248,1368
249,NA
250,NA
251,2900
252,830
253,NA
254,1584
255,40558
256,1363
257,850
258,NA
259,850
260,1356
261,290
262,550
263,950
264,1400
265,1672
266,850
267,3587
268,1460
269,750
270,NA
271,NA
272,832
273,607
274,1880
275,510
276,725
277,748
278,1404
279,35625
280,NA
281,26
282,1524
283,1352
284,1400
285,11000
286,1090
287,1520
288,1200
289,NA
290,NA
291,NA
292,864
293,750
294,750
295,148485
296,1400
297,3008
298,821
299,NA
300,NA
301,NA
302,763
303,1219
304,NA
305,NA
306,720
307,925
308,2304
309,815
310,2512
311,501
312,NA
313,1200
314,1800
315,NA
316,NA
317,1904
318,NA
319,1050
320,3000
321,NA
322,NA
323,1436
324,NA
325,1200
326,2673
327,528
328,1812
329,NA
330,900
331,NA
332,NA
333,3076
334,2754
335,2916
336,1500
337,136098
338,114992
339,700
340,NA
341,640
342,2500
343,625
344,2000
345,1720
346,1901
347,NA
348,1491
349,1080
350,NA
351,NA
352,1000
353,1007
354,1100
355,NA
356,NA
357,600
358,1800
359,NA
360,2400
361,1067
362,1000
363,600
364,2000
365,1644
366,516
367,1998
368,1573
369,800
370,1000
371,NA
372,2106
373,1100
374,NA
375,3270
376,763
377,1647
378,2440
379,876
380,9565
381,1200
382,950
383,NA
384,1321
385,946
386,3540
387,1951
388,4608
389,708
390,500
391,2000
392,3100
393,450
394,750
395,745
396,2000
397,NA
398,NA
399,1000
400,880
401,2700
402,58266
403,973
404,28250
405,3100
406,89349
407,4416
408,507
409,NA
410,631
411,975
412,1026
413,750
414,1296
415,750
416,NA
417,607
418,NA
419,450
420,2400
421,1196
422,2542
423,3000
424,NA
425,1150
426,NA
427,3060
428,795
429,NA
430,3100
431,870
432,NA
433,154506
434,1653
435,1224
436,2115
437,1280
438,917
439,650
440,NA
441,NA
442,2050
443,950
444,2999
445,1270
446,1200
447,1496
448,1488
449,1950
450,4800
451,750
452,NA
453,NA
454,NA
455,550
456,720
457,NA
458,1560
459,1645
460,950
461,NA
462,NA
463,2102
464,NA
465,NA
466,NA
467,2138
468,1800
469,NA
470,NA
471,750
472,500
473,NA
474,2035
475,549
476,650
477,1288
478,NA
479,3453
480,1208
481,800
482,1495
483,139009
484,1620
485,NA
486,2463
487,2600
488,1100
489,1500
490,691
491,NA
492,680
493,1539
494,2234
495,2400
496,426
497,500
498,1271
499,1100
500,3520
501,1600
502,NA
503,1021
504,NA
505,800
506,2158
507,4600
508,829
509,NA
510,300
511,1000
512,850
513,NA
514,600
515,2850
516,4380
517,900
518,3296
519,1266
520,2000
521,NA
522,4450
523,NA
524,3200
525,1100
526,750
527,NA
528,985
529,1349
530,NA
531,NA
532,3100
533,3060
534,2750
535,990
536,1318
537,2120
538,2224
539,1495
540,500
541,1415
542,NA
543,1000
544,2200
545,1941
546,705
547,900
548,NA
549,1750
550,NA
551,1280
552,1200
553,NA
554,812
555,1090
556,984
557,5000
558,2400
559,400
560,485
561,NA
562,3500
563,1016
564,3000
565,3264
566,358898
567,1623
568,1120
569,550
570,780
571,1176
572,NA
573,NA
574,1167
575,2700
576,NA
577,NA
578,827
579,1090
580,1608
581,904
582,1514
583,1800
584,NA
585,650
586,1768
587,1154
588,1664
589,1560
590,2270
591,1100
592,2384
593,5919
594,682
595,NA
596,1521
597,164403
598,164403
599,1521
600,5027
601,1200
602,NA
603,NA
604,950
605,1956
606,1836
607,750
608,1400
609,NA
610,1200
611,NA
612,2268
613,791
614,1800
615,3200
616,NA
617,1350
618,1560
619,NA
620,2361
621,802
622,420
623,1150
624,1514
625,765
626,NA
627,9600
628,1042
629,NA
630,1415
631,557
632,1271
633,NA
634,2520
635,4100
636,1998
637,NA
638,NA
639,NA
640,NA
641,NA
642,850
643,810
644,NA
645,850
646,1512
647,875
648,1891
649,2125
650,630
651,1151
652,626
653,626
654,9373
655,4000
656,NA
657,1017
658,NA
659,24914
660,NA
661,700
662,1400
663,NA
664,33340
665,NA
666,1500
667,1176
668,997
669,2500
670,900
671,2347
672,804
673,1300
674,550
675,NA
676,1100
677,954
678,420
679,605018
680,1000
681,4193
682,750
683,2280
684,1012
685,779
686,NA
687,NA
688,NA
689,NA
690,15880
691,1100
692,NA
693,1200
694,1760
695,1720
696,720
697,600
698,1721
699,2400
700,2705
701,2020
702,1240
703,2080
704,613
705,3026
706,NA
707,NA
708,NA
709,3430
710,NA
711,2235
712,NA
713,2200
714,753
715,NA
716,900
717,520
718,579
719,1280
720,517
721,3980
722,5551
723,1672
724,NA
725,1360
726,NA
727,2500
728,1312
729,750
