,0
0,3.0
1,5.0
2,2.0
3,1.0
4,3.0
5,3.0
6,5.0
7,2.0
8,4.0
9,2.0
10,2.0
11,3.0
12,2.0
13,8.0
14,3.0
15,4.0
16,1.0
17,2.0
18,1.0
19,1.0
20,2.0
21,2.0
22,2.0
23,1.0
24,2.0
25,1.0
26,1.0
27,1.0
28,2.0
29,2.0
30,2.0
31,4.0
32,3.0
33,2.0
34,2.0
35,3.0
36,1.0
37,1.0
38,2.0
39,1.0
40,2.0
41,4.0
42,3.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,3.0
49,1.0
50,1.0
51,1.0
52,4.0
53,1.0
54,4.0
55,2.0
56,2.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,4.0
64,2.0
65,2.0
66,1.0
67,5.0
68,2.0
69,3.0
70,2.0
71,1.0
72,1.0
73,2.0
74,3.0
75,2.0
76,2.0
77,2.0
78,2.0
79,1.0
80,1.0
81,2.0
82,3.0
83,2.0
84,2.0
85,2.0
86,1.0
87,1.0
88,1.0
89,4.0
90,3.0
91,1.0
92,1.0
93,1.0
94,2.0
95,1.0
96,1.0
97,4.0
98,2.0
99,1.0
100,1.0
101,1.0
102,1.0
103,2.0
104,5.0
105,1.0
106,3.0
107,1.0
108,2.0
109,3.0
110,1.0
111,1.0
112,1.0
113,1.0
114,2.0
115,1.0
116,1.0
117,2.0
118,1.0
119,2.0
120,2.0
121,1.0
122,2.0
123,2.0
124,1.0
125,1.0
126,1.0
127,3.0
128,2.0
129,2.0
130,3.0
131,2.0
132,3.0
133,1.0
134,NA
135,2.0
136,3.0
137,1.0
138,1.0
139,NA
140,1.0
141,NA
142,3.0
143,5.0
144,2.0
145,3.0
146,3.0
147,1.0
148,1.0
149,3.0
150,3.0
151,1.0
152,1.0
153,2.0
154,3.0
155,2.0
156,1.0
157,5.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,3.0
164,3.0
165,5.0
166,5.0
167,4.0
168,7.0
169,1.0
170,1.0
171,3.0
172,2.0
173,1.0
174,3.0
175,2.0
176,1.0
177,1.0
178,3.0
179,3.0
180,1.0
181,3.0
182,1.0
183,6.0
184,1.0
185,1.0
186,3.0
187,3.0
188,2.0
189,1.0
190,2.0
191,5.0
192,1.0
193,1.0
194,3.0
195,1.0
196,1.0
197,2.0
198,2.0
199,3.0
200,1.0
201,2.0
202,3.0
203,1.0
204,1.0
205,2.0
206,4.0
207,2.0
208,2.0
209,3.0
210,1.0
211,2.0
212,3.0
213,4.0
214,10.0
215,1.0
216,4.0
217,4.0
218,2.0
219,4.0
220,2.0
221,4.0
222,1.0
223,1.0
224,1.0
225,6.0
226,3.0
227,3.0
228,1.0
229,1.0
230,1.0
231,2.0
232,1.0
233,2.0
234,5.0
235,1.0
236,2.0
237,1.0
238,4.0
239,2.0
240,1.0
241,2.0
242,1.0
243,1.0
244,3.0
245,2.0
246,3.0
247,2.0
248,3.0
249,1.0
250,NA
251,3.0
252,1.0
253,3.0
254,4.0
255,1.0
256,2.0
257,1.0
258,4.0
259,1.0
260,3.0
261,1.0
262,1.0
263,1.0
264,2.0
265,3.0
266,1.0
267,5.0
268,3.0
269,1.0
270,1.0
271,2.0
272,1.0
273,1.0
274,2.0
275,1.0
276,1.0
277,1.0
278,2.0
279,1.0
280,2.0
281,1.0
282,3.0
283,3.0
284,3.0
285,1.0
286,1.0
287,3.0
288,2.0
289,3.0
290,1.0
291,1.0
292,2.0
293,1.0
294,2.0
295,2.0
296,2.0
297,6.0
298,2.0
299,1.0
300,1.0
301,1.0
302,2.0
303,2.0
304,1.0
305,3.0
306,1.0
307,1.0
308,3.0
309,1.0
310,5.0
311,1.0
312,3.0
313,2.0
314,2.0
315,1.0
316,1.0
317,2.0
318,1.0
319,2.0
320,3.0
321,1.0
322,3.0
323,2.0
324,1.0
325,2.0
326,3.0
327,1.0
328,2.0
329,1.0
330,1.0
331,1.0
332,3.0
333,3.0
334,5.0
335,2.0
336,2.0
337,1.0
338,1.0
339,1.0
340,5.0
341,1.0
342,2.0
343,1.0
344,3.0
345,2.0
346,2.0
347,1.0
348,2.0
349,2.0
350,2.0
351,4.0
352,1.0
353,2.0
354,1.0
355,1.0
356,NA
357,1.0
358,3.0
359,4.0
360,3.0
361,2.0
362,1.0
363,1.0
364,3.0
365,4.0
366,1.0
367,2.0
368,2.0
369,1.0
370,1.0
371,1.0
372,4.0
373,2.0
374,3.0
375,3.0
376,1.0
377,3.0
378,2.0
379,1.0
380,7.0
381,2.0
382,1.0
383,3.0
384,1.0
385,2.0
386,5.0
387,2.0
388,4.0
389,1.0
390,1.0
391,2.0
392,4.0
393,1.0
394,1.0
395,1.0
396,2.0
397,1.0
398,4.0
399,2.0
400,1.0
401,4.0
402,2.0
403,2.0
404,1.0
405,4.0
406,2.0
407,5.0
408,1.0
409,3.0
410,1.0
411,1.0
412,2.0
413,1.0
414,2.0
415,1.0
416,NA
417,1.0
418,2.0
419,1.0
420,3.0
421,2.0
422,3.0
423,4.0
424,2.0
425,2.0
426,1.0
427,2.0
428,1.0
429,1.0
430,4.0
431,1.0
432,3.0
433,1.0
434,3.0
435,2.0
436,2.0
437,1.0
438,2.0
439,1.0
440,2.0
441,3.0
442,4.0
443,1.0
444,4.0
445,2.0
446,1.0
447,2.0
448,3.0
449,3.0
450,1.0
451,1.0
452,1.0
453,3.0
454,1.0
455,1.0
456,1.0
457,1.0
458,3.0
459,3.0
460,1.0
461,1.0
462,1.0
463,2.0
464,3.0
465,1.0
466,2.0
467,3.0
468,2.0
469,1.0
470,NA
471,1.0
472,1.0
473,1.0
474,3.0
475,1.0
476,1.0
477,2.0
478,1.0
479,5.0
480,2.0
481,1.0
482,3.0
483,3.0
484,2.0
485,NA
486,3.0
487,4.0
488,1.0
489,3.0
490,1.0
491,2.0
492,1.0
493,3.0
494,4.0
495,3.0
496,1.0
497,1.0
498,2.0
499,NA
500,2.0
501,3.0
502,1.0
503,2.0
504,1.0
505,1.0
506,2.0
507,4.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,3.0
514,1.0
515,3.0
516,4.0
517,1.0
518,4.0
519,2.0
520,3.0
521,4.0
522,5.0
523,1.0
524,6.0
525,2.0
526,1.0
527,1.0
528,1.0
529,2.0
530,4.0
531,NA
532,2.0
533,2.0
534,3.0
535,1.0
536,2.0
537,3.0
538,2.0
539,3.0
540,1.0
541,3.0
542,2.0
543,1.0
544,1.0
545,4.0
546,1.0
547,4.0
548,3.0
549,2.0
550,3.0
551,2.0
552,2.0
553,1.0
554,1.0
555,2.0
556,2.0
557,6.0
558,3.0
559,1.0
560,1.0
561,5.0
562,6.0
563,2.0
564,3.0
565,7.0
566,1.0
567,3.0
568,2.0
569,1.0
570,1.0
571,2.0
572,1.0
573,4.0
574,1.0
575,4.0
576,1.0
577,2.0
578,1.0
579,2.0
580,2.0
581,2.0
582,2.0
583,3.0
584,NA
585,1.0
586,2.0
587,2.0
588,3.0
589,2.0
590,2.0
591,1.0
592,5.0
593,6.0
594,1.0
595,9.0
596,2.0
597,1.0
598,1.0
599,2.0
600,5.0
601,2.0
602,5.0
603,1.0
604,1.0
605,4.0
606,2.0
607,1.0
608,2.0
609,NA
610,2.0
611,NA
612,2.0
613,1.0
614,3.0
615,4.0
616,2.0
617,3.0
618,3.0
619,1.0
620,5.0
621,1.0
622,1.0
623,3.0
624,1.0
625,1.0
626,1.0
627,15.0
628,2.0
629,1.0
630,2.0
631,1.0
632,2.0
633,1.0
634,4.0
635,3.0
636,3.0
637,4.0
638,3.0
639,3.0
640,1.0
641,NA
642,1.0
643,1.0
644,1.0
645,1.0
646,2.0
647,1.0
648,3.0
649,3.0
650,1.0
651,2.0
652,1.0
653,1.0
654,9.0
655,4.0
656,2.0
657,2.0
658,2.0
659,11.0
660,4.0
661,1.0
662,3.0
663,3.0
664,8.0
665,2.0
666,2.0
667,2.0
668,2.0
669,3.0
670,1.0
671,4.0
672,2.0
673,3.0
674,1.0
675,4.0
676,1.0
677,1.0
678,1.0
679,1.0
680,2.0
681,4.0
682,1.0
683,3.0
684,2.0
685,1.0
686,1.0
687,2.0
688,2.0
689,1.0
690,3.0
691,2.0
692,1.0
693,2.0
694,3.0
695,2.0
696,1.0
697,1.0
698,2.0
699,6.0
700,3.0
701,2.0
702,2.0
703,3.0
704,1.0
705,1.0
706,1.0
707,2.0
708,4.0
709,4.0
710,2.0
711,3.0
712,1.0
713,2.0
714,1.0
715,1.0
716,1.0
717,1.0
718,1.0
719,2.0
720,1.0
721,6.0
722,7.0
723,3.0
724,1.0
725,1.0
726,1.0
727,4.0
728,2.0
729,1.0
730,1.0
731,2.0
732,2.0
733,1.0
734,2.0
735,1.0
736,1.0
737,10.0
738,3.0
739,3.0
740,2.0
741,1.0
742,2.0
743,2.0
744,1.0
745,1.0
746,1.0
747,NA
748,1.0
749,3.0
750,4.0
751,1.0
752,3.0
753,1.0
754,3.0
755,5.0
756,3.0
757,1.0
758,3.0
759,3.0
760,2.0
761,1.0
762,4.0
763,4.0
764,3.0
765,3.0
766,1.0
767,3.0
768,2.0
769,1.0
770,2.0
771,2.0
772,2.0
