,0
0,Garage - Detached
1,None
2,Waitlist
3,"Private, Detached"
4,"Private, Detached, Driveway, Garage, On Street"
5,0 spaces
6,0 spaces
7,"Garage, Garage - Attached"
8,0 spaces
9,"Garage, Carport, Garage - Attached, Off-street"
10,"Shared Driveway, Detached"
11,"Private, Attached, Driveway, Off Street"
12,"Garage, Garage - Attached"
13,"Private, Attached, Driveway"
14,0 spaces
15,0 spaces
16,0 spaces
17,0 spaces
18,"Garage, Heated Garage"
19,"Private, Detached, Driveway"
20,Garage - Attached
21,0 spaces
22,0 spaces
23,0 spaces
24,None
25,"Common, Parking Lot"
26,"Garage, Garage - Attached"
27,0 spaces
28,"Private, Driveway"
29,"Attached, Driveway"
30,Private
31,Garage - Detached
32,"Garage, Garage - Attached"
33,0 spaces
34,0 spaces
35,Off-street
36,0 spaces
37,0 spaces
38,Other
39,"Private, Detached"
40,"Private, Detached"
41,"Private, Detached"
42,0 spaces
43,"On Street, Waitlist"
44,0 spaces
45,"Private, Attached"
46,0 spaces
47,Covered
48,0 spaces
49,0 spaces
50,0 spaces
51,"Built-in, Garage, Off Street, On Street"
52,"Driveway, Private, Storage"
53,None
54,"Shared Driveway, Detached, Carport"
55,0 spaces
56,None
57,"Garage - Attached, Off-street, Covered"
58,"Garage - Attached, Covered"
