,0
0,0 spaces
1,None
2,"No Garage, Carport, Off Street"
3,"Street, None"
4,On Street
5,0 spaces
6,Covered
7,Garage - Detached
8,
9,"Detached, Garage, Off Street, Garage Door Opener"
10,Private
11,"Carport, Garage - Detached, Covered"
12,"Garage - Attached, Garage - Detached, Off-street, On-street, Covered"
13,"No Garage, Off Street"
14,Garage
15,0 spaces
16,0 spaces
17,Garage - Attached
18,0 spaces
19,0 spaces
20,0 spaces
21,"Garage - Attached, Covered"
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
