,0
0,$485/mo
1,"$13,016/mo"
2,"$3,271/mo"
3,"$1,794/mo"
4,"$15,096/mo"
5,"$20,497/mo"
6,"$3,522/mo"
7,"$2,878/mo"
8,"$3,094/mo"
9,"$3,350/mo"
10,"$4,613/mo"
11,"$2,161/mo"
12,"$1,300/mo"
13,$720/mo
14,"$1,391/mo"
15,"$1,172/mo"
16,"$3,224/mo"
17,"$28,515/mo"
18,"$4,026/mo"
19,"$1,095/mo"
20,"$2,161/mo"
21,"$29,102/mo"
22,"$5,535/mo"
23,"$3,338/mo"
24,
25,"$8,370/mo"
26,"$3,858/mo"
27,"$10,735/mo"
28,"$4,864/mo"
29,"$2,143/mo"
30,"$2,878/mo"
31,"$9,192/mo"
32,"$5,703/mo"
33,"$2,791/mo"
34,"$2,157/mo"
35,"$11,725/mo"
36,$989/mo
37,"$3,690/mo"
38,$985/mo
39,"$1,790/mo"
40,"$1,556/mo"
41,"$4,864/mo"
42,"$1,959/mo"
43,"$3,238/mo"
44,"$18,283/mo"
45,"$1,355/mo"
46,"$2,334/mo"
47,"$4,747/mo"
48,"$3,130/mo"
49,"$2,698/mo"
50,"$6,706/mo"
51,
52,"$3,452/mo"
53,"$7,884/mo"
54,"$2,989/mo"
55,"$60,385/mo"
56,"$7,800/mo"
57,"$2,341/mo"
58,"$2,341/mo"
59,"$7,800/mo"
