,0
0,"0.8,0.7,0.2,"
1,"0.7,0.9,0.5,"
2,"0.7,0.7,0.6,"
3,"0.5,0.7,0.3,"
4,"0.7,0.9,0.5,"
5,"0.7,0.6,0.3,"
6,"0.8,0.6,"
7,"0.8,0.4,"
8,"0.9,0.6,0.4,"
9,"0.4,0.5,0.3,"
10,"0.7,0.8,0.4,"
11,"1.0,0.3,0.9,"
12,"0.6,0.4,"
13,"0.8,0.9,0.2,"
14,"0.7,0.3,0.9,"
15,"0.6,1.0,0.3,"
16,"0.9,0.3,0.9,"
17,"0.8,0.5,0.3,"
18,"0.5,0.6,"
19,"1.0,0.3,0.9,"
20,"1.0,0.3,0.9,"
21,"0.8,0.3,"
22,"0.4,0.7,0.2,"
23,"0.4,0.5,0.3,"
24,"1.0,0.8,0.5,"
25,"1.0,0.5,"
26,"0.7,0.4,0.3,"
27,"0.5,0.8,0.2,"
28,"0.8,0.4,"
29,"1.0,0.3,0.9,"
30,"0.8,0.6,0.4,"
31,"0.8,0.8,0.5,"
32,"0.7,0.3,"
33,"0.8,0.6,"
34,"0.9,0.9,0.2,"
35,"0.3,0.6,0.3,"
36,"0.7,1.0,0.4,"
37,"0.9,0.3,0.9,"
38,"0.6,0.6,0.9,"
39,"1.0,0.3,0.9,"
40,"0.9,0.6,"
41,"0.7,0.8,0.3,"
42,"0.4,0.5,0.3,"
43,"1.0,0.6,0.9,"
44,"0.8,0.8,0.5,"
45,"0.7,0.7,0.2,"
46,"0.6,0.6,0.3,"
47,"0.7,0.8,0.3,"
48,"1.0,0.3,0.9,"
49,"0.6,0.7,0.8,"
50,"0.3,0.3,"
51,"0.5,0.6,0.3,"
52,"0.8,0.3,"
53,"0.8,0.3,0.9,"
54,"0.6,0.5,0.2,"
55,"0.6,1.0,0.3,"
56,"0.8,0.8,0.3,"
57,"1.0,0.3,0.9,"
58,"0.9,0.8,0.3,"
59,"0.7,0.4,"
