,0
0,"-Ps 287 Bailey K Ashford,-Ps 8 Robert Fulton,-City Polytechnic High School Of Engineering Archi,"
1,"-Ps 262 El Hajj Malik El Shabazz Elementary School,-Ms 35 Stephen Decatur,-Boys and Girls High School,"
2,"-Ps 41 Francis White,-Brooklyn Collegiate A College Board School,"
3,"-Ps 222 Katherine R Snyder,-Jhs 278 Marine Park,-James Madison High School,"
4,"-Ps 192 Jacob H Schiff,-Jhs 52 Inwood,-A Philip Randolph Campus High School,"
5,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
6,"-Ps 75 Emily Dickinson,-Ms 250 West Side Collaborative Middle School,-Innovation Diploma Plus,"
7,"-Ps 166 The Richard Rogers School Of The Arts And S,-Ms 250 West Side Collaborative Middle School,-Innovation Diploma Plus,"
8,"-Ps 36 St Albans School,-Is 59 Springfield Gardens,-Eagle Academy for Young Men III,"
9,"-Ps 66 Jacqueline Kennedy Onassis,-Ms 137 America S School Of Heroes,-Richmond Hill High School,"
