,0
0,"$1,364/mo"
1,$388/mo
2,$258/mo
3,
4,$588/mo
5,"$4,873/mo"
6,"$1,063/mo"
7,$867/mo
8,"$1,085/mo"
9,$384/mo
10,$454/mo
11,$552/mo
12,"$3,084/mo"
13,$473/mo
14,$701/mo
15,$366/mo
16,$807/mo
17,$412/mo
18,$559/mo
19,$580/mo
20,$194/mo
21,"$1,210/mo"
22,$656/mo
23,"$1,040/mo"
24,$356/mo
25,
26,$152/mo
27,$650/mo
28,$441/mo
29,$379/mo
30,$433/mo
31,$853/mo
32,$435/mo
33,$697/mo
34,$804/mo
35,$223/mo
36,$237/mo
37,"$1,723/mo"
38,$162/mo
39,$630/mo
40,$623/mo
41,$813/mo
42,$195/mo
43,
44,$270/mo
45,$616/mo
46,$438/mo
47,$420/mo
48,$862/mo
49,$495/mo
50,$422/mo
51,"$1,015/mo"
52,$443/mo
53,$980/mo
54,$585/mo
55,$349/mo
56,$303/mo
57,$349/mo
58,$251/mo
