,0
0,Cooperative
1,Condo
2,SingleFamily
3,Condo
4,Apartment
5,Condo
6,Condo
7,MultiFamily
8,MultiFamily
9,MultiFamily
10,MultiFamily
11,SingleFamily
12,Cooperative
13,Cooperative
14,Cooperative
15,Condo
16,Condo
17,Condo
18,MultiFamily
19,Cooperative
20,Condo
21,MultiFamily
22,MultiFamily
23,Condo
24,Townhouse
25,MultiFamily
26,Cooperative
27,Condo
28,Condo
29,Cooperative
30,Condo
31,Condo
32,Apartment
33,Condo
34,Cooperative
35,Cooperative
36,SingleFamily
37,SingleFamily
38,Condo
39,Condo
40,SingleFamily
41,Condo
42,SingleFamily
43,MultiFamily
44,VacantLand
45,Cooperative
46,SingleFamily
47,Condo
48,MultiFamily
49,SingleFamily
50,Condo
51,Cooperative
52,MultiFamily
53,SingleFamily
54,Condo
55,Townhouse
56,Condo
57,Cooperative
58,Cooperative
59,Condo
