,0
0,0 spaces
1,0 spaces
2,0 spaces
3,0 spaces
4,0 spaces
5,0 spaces
6,Garage - Attached
7,0 spaces
8,None
9,"Attached, Driveway"
10,0 spaces
11,0 spaces
12,Covered
13,0 spaces
14,"Private, Detached"
15,0 spaces
16,"No Garage, Off Street, On Street"
17,"Private Drive, Parking Area"
18,"No Garage, Off Street"
19,"Garage, Public Parking, On Street, Waitlist"
20,0 spaces
21,"Assigned, Garage"
22,"No Garage, Off Street"
23,0 spaces
24,0 spaces
25,0 spaces
26,0 spaces
27,On Street
28,0 spaces
29,Driveway
30,"Garage, Garage - Detached, Off-street, On-street, Covered"
31,Covered
32,0 spaces
33,0 spaces
34,0 spaces
35,0 spaces
36,0 spaces
37,"Attached, Driveway"
38,Covered
39,"No Garage, Off Street, On Street"
40,Waitlist
41,Covered
42,"No Garage, Off Street"
43,"No Garage, Assigned"
44,"Attached, Driveway"
45,"No Garage, Assigned, On Street"
46,"Detached, Garage, Off Street, Garage Door Opener"
47,"Parking Area, Other"
48,"Private, Detached"
49,"No Garage, Carport, Off Street"
50,0 spaces
51,"1 Space, Garage Door Opener"
52,0 spaces
53,Covered
54,"No Garage, On Street"
55,Street
56,0 spaces
57,"Private, Attached, Driveway"
58,"Garage, Wait-List"
59,"Built-in, Garage, Assigned"
