,0
0,$761/mo
1,"$1,448/mo"
2,"$2,233/mo"
3,"$2,822/mo"
4,"$1,448/mo"
5,"$2,723/mo"
6,"$1,364/mo"
7,"$1,451/mo"
8,"$3,063/mo"
9,"$1,037/mo"
10,"$5,551/mo"
11,
12,"$2,025/mo"
13,"$2,685/mo"
14,"$11,775/mo"
15,"$1,997/mo"
16,"$2,485/mo"
17,"$2,444/mo"
18,"$1,342/mo"
19,"$6,712/mo"
20,"$2,719/mo"
21,$839/mo
22,"$2,992/mo"
23,"$2,212/mo"
24,"$1,139/mo"
25,"$1,691/mo"
26,"$2,345/mo"
27,"$2,042/mo"
28,"$3,869/mo"
29,"$3,869/mo"
30,"$1,200/mo"
31,"$1,491/mo"
32,"$3,233/mo"
33,"$16,316/mo"
34,"$4,878/mo"
35,"$2,893/mo"
36,"$3,684/mo"
37,"$2,890/mo"
38,$979/mo
39,"$2,107/mo"
40,"$5,988/mo"
41,"$2,297/mo"
42,"$2,033/mo"
43,"$3,936/mo"
44,"$2,856/mo"
45,"$4,020/mo"
46,"$4,377/mo"
47,"$1,182/mo"
48,"$9,588/mo"
49,"$2,638/mo"
50,"$2,039/mo"
51,"$4,542/mo"
52,"$1,619/mo"
53,"$5,130/mo"
54,"$2,365/mo"
55,"$1,451/mo"
56,"$16,148/mo"
57,"$2,379/mo"
58,"$4,542/mo"
59,"$6,039/mo"
