,0
0,"0.7,0.4,0.3,"
1,"0.5,0.3,"
2,"0.3,0.4,0.3,"
3,"0.4,0.8,0.2,"
4,"0.8,0.3,"
5,"0.8,0.3,"
6,"0.7,0.7,0.5,"
7,"0.8,1.0,0.4,"
8,"1.0,0.8,0.5,"
9,"0.7,1.0,0.6,"
10,"0.5,0.2,0.2,"
11,"0.9,0.9,0.3,"
12,"0.5,0.3,"
13,"0.3,0.8,0.3,"
14,"0.8,0.8,0.2,"
15,"1.0,0.3,0.9,"
16,"0.7,0.6,0.9,"
17,"0.8,0.3,"
18,"0.6,0.7,0.5,"
19,"0.9,1.0,0.6,"
20,"0.5,0.6,0.9,"
21,"0.7,0.3,0.9,"
22,"0.8,0.3,0.9,"
23,NA
24,"0.6,1.0,0.5,"
25,"0.3,0.4,0.3,"
26,"0.7,0.8,0.3,"
27,"0.8,0.4,"
28,"0.3,0.9,"
29,"1.0,0.3,0.9,"
30,"0.8,0.3,"
31,"0.7,0.2,"
32,"1.0,0.3,0.9,"
33,"0.8,0.7,"
34,"0.6,0.8,0.2,"
35,"0.7,1.0,"
36,"0.2,0.5,0.4,"
37,"0.6,0.5,0.2,"
38,"0.8,0.6,0.1,"
39,"0.6,0.7,0.2,"
40,"0.5,0.4,"
41,"0.6,0.3,0.9,"
42,"0.7,0.7,0.5,"
43,"0.7,0.5,"
44,"1.0,0.3,0.9,"
45,"0.8,0.3,0.9,"
46,"0.8,0.4,"
47,"0.7,0.8,0.3,"
48,"0.5,0.3,"
49,"0.4,0.5,0.3,"
50,"0.7,0.9,0.2,"
51,"0.9,1.0,0.4,"
52,"0.8,0.6,0.4,"
53,"0.2,0.3,0.3,"
54,"0.5,0.7,0.3,"
55,"0.3,0.6,0.3,"
56,"0.8,0.8,0.3,"
