,0
0,"-Ps 103 Hector Fontanez,-The Forward School,-New World High School,"
1,"-School For Environmental Citizenship,-Creston Academy,-Theatre Arts Production Company School,"
2,"-Ps 44 Thomas C Brown,-Is 51 Edwin Markham,-Port Richmond High School,"
3,"-Ps 215 Morris H Weiss,-Is 228 David A Boody,-Abraham Lincoln High School,"
4,"-Ps 106 Parkchester,-Jhs 127 The Castle Hill,-Bronx High School For The Visual Arts,"
5,"-Ps 282 Park Slope,-Brooklyn Technical High School,"
6,"-Ps 130 The Parkside,-Middle 839,-West Brooklyn Community High School,"
7,"-Ps 229 Emanuel Kaplan,-Is 73 The Frank Sansivieri Intermediate School,-Grover Cleveland H.S.,"
8,"-Ps 133,-Irwin Altman Middle School 172,-Martin Van Buren High School,"
9,"-Ps 54 Charles W Leng,-Is 72 Rocco Laurie,-Susan E Wagner High School,"
10,"-Ps 223 Lyndon B Johnson,-Jhs 226 Virgil I Grisson,-John Adams High School,"
11,"-Ps 194 Raoul Wallenberg,-Jhs 278 Marine Park,-James Madison High School,"
12,"-Ps 221 The North Hills School,-Jhs 67 Louis Pasteur,-Benjamin N Cardozo High School,"
13,"-Ps 16 John J Driscoll,-Is 49 Bertha A Dreyfus,-Curtis High School,"
14,"-P.S. 78,-Long Island City High School,"
15,"-River School (The),-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,"
16,"-Spruce Street School,-Nyc Lab High School For Collaborative Studies,"
17,"-P.S. 51 Elias Howe,-Middle 297,-Nyc Lab High School For Collaborative Studies,"
18,"-Ps 41 Francis White,-Aspirations Diploma Plus High School,"
19,"-Ps 16 John J Driscoll,-Is 61 William A Morris,-Curtis High School,"
20,"-Ps 91 The Albany Avenue School,-Ms 61 Gladstone H Atwell,-High School for Public Service-Heroes of Tomorrow,"
21,"-Ps 38 The Pacific,-The Math And Science Exploratory School,-Khalil Gibran International Academy,"
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
