,0
0,$683/mo
1,$263/mo
2,$370/mo
3,$780/mo
4,$244/mo
5,$251/mo
6,$244/mo
7,$974/mo
8,$224/mo
9,$734/mo
10,
11,$249/mo
12,$395/mo
13,$158/mo
14,$435/mo
15,"$6,197/mo"
16,"$3,337/mo"
17,$188/mo
18,$805/mo
19,$692/mo
20,"$1,027/mo"
21,
22,"$2,856/mo"
23,$712/mo
24,$507/mo
25,$629/mo
26,$118/mo
27,$644/mo
28,$854/mo
29,$659/mo
30,$588/mo
31,$595/mo
32,$770/mo
33,$425/mo
34,$534/mo
35,"$2,370/mo"
36,$111/mo
37,$341/mo
38,$379/mo
39,$541/mo
40,"$2,123/mo"
41,"$1,023/mo"
42,$244/mo
43,$273/mo
44,"$1,155/mo"
45,$363/mo
46,$866/mo
47,$102/mo
48,$257/mo
49,
50,$357/mo
51,$704/mo
52,$151/mo
53,$217/mo
54,$629/mo
55,$686/mo
56,$398/mo
