,0
0,Condo
1,Cooperative
2,Cooperative
3,
4,MultiFamily
5,Condo
6,Condo
7,MultiFamily
8,SingleFamily
9,Cooperative
10,
11,SingleFamily
12,Cooperative
13,Cooperative
14,SingleFamily
15,Cooperative
16,Condo
17,Cooperative
18,Cooperative
19,Cooperative
20,Condo
21,Condo
22,Cooperative
23,Other
24,Townhouse
25,Condo
26,Cooperative
27,MultiFamily
28,MultiFamily
29,Cooperative
30,Cooperative
31,MultiFamily
32,Condo
33,Condo
34,MultiFamily
35,Condo
36,Cooperative
37,Condo
38,SingleFamily
39,Cooperative
40,SingleFamily
41,SingleFamily
42,SingleFamily
43,SingleFamily
44,SingleFamily
45,Cooperative
46,Cooperative
47,SingleFamily
48,Cooperative
49,SingleFamily
50,Cooperative
51,Cooperative
52,Condo
53,Cooperative
54,Condo
55,Cooperative
56,SingleFamily
57,SingleFamily
58,Condo
59,MultiFamily
