,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
0,599000,3,3,1368,"134-38 229th St, Springfield Gardens, NY 11413",https://www.zillow.com/homedetails/134-38-229th-St-Springfield-Gardens-NY-11413/2073741309_zpid/,SingleFamily,1930,"Private, Detached Garage","Other, Other",0.06 Acres,$438 ,$2158/mo,$0/mo,$419/mo,$210/mo,"Ps 156 Laurelton,Collaborative Arts Middle School,Excelsior Preparatorty High School","0.4,0.4,0.4"
1,1950000,4,5,2005,"10208 Ascan Ave, Forest Hills, NY 11375",https://www.zillow.com/homedetails/10208-Ascan-Ave-Forest-Hills-NY-11375/32005210_zpid/,SingleFamily,1930,Garage - Detached,"Other, Other","1,899 sqft",$972 ,"$6,604/mo",$0/mo,"$1,364/mo",$682/mo,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Queens Metropolitan High School,","0.9,0.7,0.6,"
2,489900,4,2,NA,"654 E 156th St, Bronx, NY 10455",https://www.zillow.com/homedetails/654-E-156th-St-Bronx-NY-10455/29778993_zpid/,Cooperative,1901,None,"Natural Gas, Hot Water",0.04 Acres,,"$1,780/mo",$0/mo,$388/mo,$171/mo,"-Ps 157 Grove Hill,-Hostos-Lincoln Academy of Science,","0.4,0.6,"
3,369000,2,1,1100,"140-39 34th Ave #3M, Flushing, NY 11354",https://www.zillow.com/homedetails/140-39-34th-Ave-3M-Flushing-NY-11354/219864052_zpid/,MultiFamily,1960,Waitlist,No Data,$956 monthly,$335 ,"$1,341/mo",$0/mo,$258/mo,$129/mo,"-Ps 21 Edward Hart,-Jhs 185 Edward Bleeker,-Flushing High School,","0.7,0.9,0.2,"
4,1199000,6,3,NA,"78th St, Middle Village, NY 11379",https://www.zillow.com/homedetails/69-35-78th-St-Middle-Village-NY-11379/2073741836_zpid/,MultiFamily,1930,"Private, Detached","Natural Gas, Steam",,,,,,,"-Ps 87 Middle Village,-Grover Cleveland H.S.,","0.6,0.3,"
5,839999,7,3,2067,"144-03 229th St, Springfield Gardens, NY 11413",https://www.zillow.com/homedetails/144-03-229th-St-Springfield-Gardens-NY-11413/2073741834_zpid/,Condo,1950,"Private, Detached, Driveway, Garage, On Street","Natural Gas, Hot Water",$406 ,,"$2,864/mo",$0/mo,$588/mo,$294/mo,"-Ps 181 Brookfield,-Collaborative Arts Middle School,-Excelsior Preparatorty High School,","0.7,0.4,0.4,"
6,6645000,4,5,3095,"250 West St #5HJ, New York, NY 10013",https://www.zillow.com/homedetails/250-West-St-5HJ-New-York-NY-10013/2073744103_zpid/,Cooperative,1906,0 spaces,No Data,"$3,136 monthly","$2,147 ","$22,527/mo",$0/mo,"$4,873/mo","$2,326/mo","-Ps 234 Independence School,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
7,1450000,2,2,1425,"118 E 60th St APT 27H, New York, NY 10022",https://www.zillow.com/homedetails/118-E-60th-St-APT-27H-New-York-NY-10022/89666667_zpid/,MultiFamily,1963,0 spaces,No Data,"$3,804 monthly","$1,018 ","$4,916/mo",$0/mo,"$1,063/mo",$508/mo,"-East Side Elementary School, PS 267,-Jhs 167 Robert F Wagner,-Nyc Lab High School For Collaborative Studies,","1.0,0.9,0.9,"
8,1600000,7,4,2548,"628 E 5th St, Brooklyn, NY 11218",https://www.zillow.com/homedetails/628-E-5th-St-Brooklyn-NY-11218/30675120_zpid/,Condo,1920,"Garage, Garage - Attached",No Data,$628 ,,"$5,424/mo",$0/mo,$867/mo,$560/mo,"-Ps 179 Kensington,-Jhs 62 Ditmas,-Franklin Delano Roosevelt High School,","0.6,0.7,0.3,"
9,1550000,2,2,1215,"21-30 44th Dr #3D, Long Island City, NY 11101",https://www.zillow.com/homedetails/21-30-44th-Dr-3D-Long-Island-City-NY-11101/2088363037_zpid/,SingleFamily,2019,0 spaces,No Data,"$1,209 monthly","$1,276 ","$5,255/mo",$0/mo,"$1,085/mo",$543/mo,"-P.S. 78,-Long Island City High School,","0.9,0.3,"
10,549000,4,2,882,"14202 116th Ave, Jamaica, NY 11436",https://www.zillow.com/homedetails/14202-116th-Ave-Jamaica-NY-11436/32181790_zpid/,SingleFamily,1920,"Garage, Carport, Garage - Attached, Off-street",No Data,"3,441 sqft",$622 ,"$1,999/mo",$0/mo,$384/mo,$192/mo,"-Ps 123,-Jhs 226 Virgil I Grisson,-John Adams High School,","0.4,0.4,0.3,"
11,649000,3,3,1216,"133-29 84th St, Ozone Park, NY 11417",https://www.zillow.com/homedetails/133-29-84th-St-Ozone-Park-NY-11417/2073745925_zpid/,SingleFamily,1940,"Shared Driveway, Detached","Natural Gas, Hot Water",0.05 Acres,$534 ,"$2,207/mo",$0/mo,$454/mo,$227/mo,"-Ps 63 Old South,-Jhs 202 Robert H Goddard,-John Adams High School,","0.7,0.6,0.3,"
12,789000,2,2,NA,"4246 195th St, Flushing, NY 11358",https://www.zillow.com/homedetails/4246-195th-St-Flushing-NY-11358/32045825_zpid/,SingleFamily,1945,"Private, Attached, Driveway, Off Street","Natural Gas, Baseboard",0.04 Acres,,"$2,684/mo",$0/mo,$552/mo,$276/mo,"-Ps 159,-Ms 158 Marie Curie,-Francis Lewis High School,","0.8,0.7,0.6,"
13,3895000,8,8,7000,"625 W 246th St, Bronx, NY 10471",https://www.zillow.com/homedetails/625-W-246th-St-Bronx-NY-10471/29854125_zpid/,SingleFamily,1940,"Garage, Garage - Attached",No Data,0.29 Acres,$556 ,"$13,205/mo",$0/mo,"$3,084/mo","$1,363/mo","-Ps 24 Spuyten Duyvil,-Riverdale Kingsbridge Academy (Ms High School 141),","1.0,0.5,"
14,675000,3,3,2100,"84-15 109th Ave, Ozone Park, NY 11417",https://www.zillow.com/homedetails/84-15-109th-Ave-Ozone-Park-NY-11417/2073747165_zpid/,SingleFamily,1930,"Private, Attached, Driveway","Natural Gas, Steam",0.05 Acres,$321 ,"$2,296/mo",$0/mo,$473/mo,$236/mo,"-Ps 63 Old South,-Jhs 202 Robert H Goddard,-John Adams High School,","0.7,0.6,0.3,"
15,1295000,4,4,2430,"2643 Hubbard St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2643-Hubbard-St-Brooklyn-NY-11235/30740350_zpid/,Condo,1930,0 spaces,No Data,"1,800 sqft",$533 ,"$4,390/mo",$0/mo,$701/mo,$453/mo,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,","0.9,0.4,"
16,499000,1,1,691,"2 S End Ave APT 3W, New York, NY 10280",https://www.zillow.com/homedetails/2-S-End-Ave-APT-3W-New-York-NY-10280/31492913_zpid/,Condo,1990,0 spaces,No Data,"$1,473 monthly",$722 ,"$1,817/mo",$0/mo,$366/mo,$175/mo,"-Ps 89,-Middle 297,-Nyc Lab High School For Collaborative Studies,","1.0,0.6,0.9,"
17,1100000,1,2,802,"310 W 52nd St APT 9A, New York, NY 10019",https://www.zillow.com/homedetails/310-W-52nd-St-APT-9A-New-York-NY-10019/80008541_zpid/,Condo,2005,0 spaces,No Data,$852 monthly,"$1,372 ","$3,729/mo",$0/mo,$807/mo,$385/mo,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
18,588000,1,1,650,"41-02 Queens Blvd #4E, Sunnyside, NY 11104",https://www.zillow.com/homedetails/41-02-Queens-Blvd-4E-Sunnyside-NY-11104/2073749386_zpid/,Condo,2006,0 spaces,No Data,$422 monthly,$905 ,"$2,000/mo",$0/mo,$412/mo,$206/mo,"-Children's Lab School (The),-Is 125 Thomas J Mccann Woodside,-Queens Technical High School,","0.8,0.8,0.4,"
19,799000,1,1,720,"107-24 71st Rd #7A, Forest Hills, NY 11375",https://www.zillow.com/homedetails/107-24-71st-Rd-7A-Forest-Hills-NY-11375/2073748956_zpid/,SingleFamily,2005,"Garage, Heated Garage","Natural Gas, Forced Air",$695 monthly,"$1,110 ","$2,718/mo",$0/mo,$559/mo,$280/mo,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,","0.9,0.7,0.4,"
